id,message_english,message_regional
starting_soon,The stream will start soon,Chương trình trực tiếp sẽ sớm bắt đầu
thank_you,Thank you for joining. See you next time!,Cảm ơn vì bạn đã tham gia. Hẹn gặp lại bạn lần sau
