speaker,title,photo
Lev Andelman,My Terraform is better than your Helm,input/israel/images/Lev_Andelman.jpg
Hila Fish,"Terraform Practices - The Good, the Bad and the Ugly",input/israel/images/Hila_Fish.png
Tal Hibner,Terraform Pull Request Automation,input/israel/images/Tal_Hibner.jpg
Eran Bibi,One Stop GitOps for All Your SaaS,input/israel/images/Eran_Bibi.jpeg
David Melamed,Bootstrapping a secure AWS environment? Terraform to the Rescue!,input/israel/images/David_Melamed.png
Aviad Fenigstein,Deploy your ML application workload in a Multi-cloud environment with Azure ML & Terraform,input/israel/images/Aviad_Fenigstein.jpg
