speaker,title,date,photo
Bervianto Leo Pratama | Mitrais,Increasing confidence and trust of your open source Terraform modules with Terraform Test Framework,"February 16, 2024 | 2:05 GMT",input/2024/images/Bervianto_Leo_Pratama.jpg
Juliano Silva | DXC Luxoft,Terraform for both pipeline-as-code and infrastructure-as-code on AWS CI/CD,,input/2024/images/Juliano_Silva.jpg
Renaldi Gondosubroto | Seek Limited,Leveraging HashiCorp and AWS for environmentally sustainable deployments: a step into a green future,,input/2024/images/Renaldi_Gondosubroto.png
Andrei Buzoianu | DevOps Consultant,Vault Autounseal with Transit Secrets Engine & OIDC Authentication: a synergy for improved security,"February 15, 2024 | 14:35 GMT",input/2024/images/Andrei_Buzoianu.jpg
Elif Samedin | Senior DevOps Engineer,Vault Autounseal with Transit Secrets Engine & OIDC Authentication: a synergy for improved security,"February 15, 2024 | 14:35 GMT",input/2024/images/Elif_Samedin.jpg
