speaker,title,date,photo
Master of Ceremonies,Issac Goldstand,"February 15, 2024 | 12:00-16:00 GMT",input/2024/images/emcees/Issac.jpg
Master of Ceremonies,Tom Withers,"February 15, 2024 | 12:00-16:00 GMT",input/2024/images/emcees/Tom.png
Master of Ceremonies,Justin Herreman,"February 15, 2024 | 16:15-20:15 GMT",input/2024/images/emcees/Justin.jpg
Master of Ceremonies,Ned Bellavance,"February 15, 2024 | 16:15-20:15 GMT",input/2024/images/emcees/Ned.png
Master of Ceremonies,Phil Renaud,"February 15-16, 2024 | 20:25-00:25 GMT",input/2024/images/emcees/Phil.jpeg
Master of Ceremonies,Jasmine McFarlane-White,"February 15-16, 2024 | 20:25-00:25 GMT",input/2024/images/emcees/jasmine.jpg
Master of Ceremonies,Renae Kosir,"February 16, 2024 | 00:35-4:35 GMT",input/2024/images/emcees/Renae.jpg
Master of Ceremonies,Cole Morrison,"February 16, 2024 | 00:35-4:35 GMT",input/2024/images/emcees/Cole.png
Master of Ceremonies,Dheeraj Choudhary,"February 16, 2024 | 4:45-8:45 GMT",input/2024/images/emcees/dheeraj.jpg
Master of Ceremonies,Lachie White,"February 16, 2024 | 4:45-8:45 GMT",input/2024/images/emcees/Lachlan.png
Master of Ceremonies,Francesca Ternullo,"February 16, 2024 | 8:55-12:00 GMT",input/2024/images/emcees/Francesca.jpg
Master of Ceremonies,Kerim Satirli,"February 16, 2024 | 8:55-12:00 GMT",input/2024/images/emcees/kerim.jpeg
