speaker,title,date,photo,photo1
Masters of Ceremonies,Kashaf Salaheen &                                Chris Williams,"February 20, 2025 | 16:15-20:15 GMT",input/2025/images/emcees/Kashaf.jpg,input/2025/images/emcees/Chris.jpg
Masters of Ceremonies,Isaac Christian &                         Rosemary Wang,"February 20-21, 2025 | 20:25-00:25 GMT",input/2025/images/emcees/Isaac.jpg,input/2025/images/emcees/Rosemary.png
Masters of Ceremonies,Alex Velazquez &                                  Cole Morrison,"February 21, 2025 | 00:35-4:35 GMT",input/2025/images/emcees/Alex.jpg,input/2025/images/emcees/Cole.png
Masters of Ceremonies,Wale Salami & Kerim Satirli,"February 21, 2025 | 8:55-12:00 GMT",input/2025/images/emcees/Wale.jpg,input/2025/images/emcees/kerim.jpeg
Masters of Ceremonies,Guy Barros & Cami Martins,"February 20, 2025 | 12:00-16:00 GMT",input/2025/images/emcees/Guy.jpg,input/2025/images/emcees/Cami.jpeg
Masters of Ceremonies,Nasi Chaudhary & Adit Modi,"February 21, 2025 | 4:45-8:45 GMT",input/2025/images/emcees/Nasi.jpg,input/2025/images/emcees/Adit.jpg
