speaker,title,date,photo,photo1
Oleg Gorodnitchi & Vinh Tran | Royal Bank of Canada,Infrastructure as code across your hybrid cloud,"February 21, 2025 | 0:35 GMT",input/2025/images/Oleg_Gorodnitchi.jpg,input/2025/images/Vinh_Tran.jpg
Welly Siauw & Manu Chandrasekhar | Amazon Web Services,Enhancing AWSCC provider documentation with GenAI,"February 21, 2025 | 2:05 GMT",input/2025/images/Welly_Siauw.jpg,input/2025/images/Manu_Chandrasekhar.jpg
