speaker,title,date,photo
Denise Yu | HashiCorp,Terraform: A year in review,"February 21, 2025 | 11:25 GMT",input/2025/images/Denise_Yu.jpg
Marko Bevc | The Scale Factory,Keeping Terraform secrets safe,"February 20, 2025 | 13:35 GMT",input/2025/images/Marko_Bevc.jpg
