speaker,title,date,photo
Japneet Sahni,Leading a privileged life without leaking secrets,"May 3, 2023 | 12:05 PM ET",input/secure/images/Japneet_Sahni.jpg
Narendra Patel,Implimenting Consul Service Mesh,"May 3, 2023 | 12:35 PM ET",input/secure/images/Narendra_Patel.jpeg
Peter ONeill,OPA powered policies for Hashicorp Cloud,"May 3, 2023 | 1:05 PM ET",input/secure/images/Peter_Oneill.png
Christopher Swenson,Using the new e vent system in Vault,"May 4, 2023 | 10:05 AM ET",input/secure/images/Christopher_Swenson.jpg
Gurpreet Kaur,Security Monitoring for Hashicorp's Vault,"May 4, 2023 | 10:20 AM ET",input/secure/images/Gurpreet_Kaur.jpg
Adam Chan,Infra Infiltrated? Yes. PII Exfiltrated? No,"May 4, 2023 | 11:20 AM ET",input/secure/images/Adam_Chan.jpg
Rosemary Wang,Minimum Secure Pipeline,"May 3, 2023 | 11:35 AM ET",input/secure/images/Rosemary_Wang.jpg
