speaker,title,date,photo,photo1
Jacob Dresdale & James Fotherby,Automating SSL/TLS Certificate Management with Let's Encrypt and HashiCorp Vault,"May 3, 2023 | 11:05 AM ET",input/secure/images/Jacob_Dresdale.jpg,input/secure/images/James_Fotherby.jpg
Rob Barnes & Nic Jackson,Pushing the Boundary of Nomad,"May 4, 2023 | 12:05 PM ET",input/secure/images/Rob_Barnes.jpg,input/secure/images/Nic_Jackson.jpg
