speaker,title,date,photo
Mikael Krief,Accelerate your Azure provisioning with Terraform Azure verified modules,12 Septembre 2024 | 10:35 CET,input/france/images/mikael_krief.jpg
Florian Even,Securing secrets and certificates in Kubernetes with HashiCorp Vault,12 Septembre 2024 | 11:05 CET,input/france/images/florian_even.jpg
Cédric Derue,"Atteindre la conformité NIS2 avec HashiCorp Vault, Boundary et Consul",12 Septembre 2024 | 12:05 CET,input/france/images/Cedric_Derue.png
