speaker,title,photo
Alejandro Medina,Confianza Cero: No confíes ni en tu propia sombra,input/america_latina/images/Alejandro_Medina.jpg
Mario García,Uso de herramientas de HashiCorp en educación,input/america_latina/images/Mario_Garcia.jpg
Joel Aldair Chan Tec,Vault in NFV Environments.,input/america_latina/images/Joel_Aldair_Chan_Tec.jpg
Carlos Arturo Quiroga Quiroga,Why does Open Banking need a MSA (MicroServices Architecture) approach?,images/h.png
Jhonnatan Gil Chaves,Gestion de secretos con Vault para nuestro kubernetes,input/america_latina/images/Jhonnatan_Gil_Chaves.png
Yury Niño Roa,Designing a Digital Hospital with Terraform,input/america_latina/images/Yury_Nino_Roa.jpg
Eduardo Lopez,Protecting Post-Quantum Cryptography Keys with Vault OSS,input/america_latina/images/Eduardo_Lopez.jpg
Robert Rozas Navarro,Integrando Hashicorp Vault con Azure Kubernetes Services,input/america_latina/images/Robert_Rozas_Navarro.jpg
