speaker,title,photo
Juhong Jung,Data Warehouse도 terraforming 할 수 있을까?,input/korea/images/Juhong_Jung.png
Byungjin Park,확장 가능한 테라폼 코드 관리,input/korea/images/Byungjin_Park.png
명주 김,Dynamic Feature Toggles with Consul,input/korea/images/myeongju_gim.png
Mohammed Mubarkoot ­,Addressing Technical Debts with IaC,input/korea/images/Mohammed_Mubarkoot.jpg
Arnaud Lheureux,How we built the most used Azure Terraform module @ Microsoft,input/korea/images/Arnaud_Lheureux.jpg
Yonghwan Yoo,멀티리전 & 멀티스테이지 인프라를 위한 모노레포 구축하기,input/korea/images/Yonghwan_Yoo.png
