speaker,title,date,photo
Anderson Luna,Importando Infraestrutura Existente para o Terraform: Melhores práticas e seus benefícios,1 de agosto de 2024 | 11:50,input/brasil/images/anderson_luna.jpg
George Tavares,30 segundos de senhas! Automatizando o rotacionamento senhas ambiente K8S,1 de agosto de 2024 | 12:20,input/brasil/images/george_tavares.jpg
