speaker,title,date,photo
David Jonathan Sol Llaven,Importando recursos existentes de AWS en Terraform: Mejores prácticas,16 de enero 2025 | 10:05,input/america_latina/images/david_jonathan_sol_llaven.jpg
Cami Martins,"Automatización de redes modernas con eBPF, Cilium y Terraform",16 de enero 2025 | 10:35,input/america_latina/images/cami_martins.png
Alejandro Mercado,Empowering infrastructure as code with CDK for Terraform: A unified approach,16 de enero 2025 | 11:05,input/america_latina/images/alejandro_mercado.jpg
Jhonnatan Gil Chaves,Empoderando a los equipos con Terraform y soluciones de observabilidad,16 de enero 2025 | 11:20,input/america_latina/images/jhonnatan_gil_chaves.png
Johan Heimar Prieto Benavides,"Nomad en acción:
Menos recursos, más potencia en la nube",16 de enero 2025 | 11:50,input/america_latina/images/johan_heimar_prieto_benavides.jpg
Santiago Fuentes Ríos,An easy way to integrate unit testing in your infrastructure code,16 de enero 2025 | 14:20,input/america_latina/images/santiago_fuentes_rios.jpg
