speaker,title,date,photo
Sefi Genis,Building Incident Response Playbooks-as-Code with Terraform,13 July 2023 | 10:05,input/israel/images/Sefi_Genis.jpeg
Ronit Kerner,Rapyd moving to TFC,13 July 2023 | 10:35,input/israel/images/Ronit_Kerner.png
Rotem Tamir,Bridging the Gap between IaC and Schema Change Management,13 July 2023 | 11:05,input/israel/images/Rotem_Tamir.png
Lev Andelman,Boundary - lessons learned,13 July 2023 | 11:35,input/israel/images/Lev_Andelman.png
Eliran Bivas,Guarding Terraform with Open Policy Agent,13 July 2023 | 11:50,input/israel/images/Eliran_Bivas.jpeg
Aviram Shmueli,Why IaC Scanners Alone Won’t Cut It and Welcoming Our AI Overlords,13 July 2023 | 12:05,input/israel/images/Aviram_Shmueli.png
Tal Hibner,From Zero to Production with Amazon EKS Blueprints for Terraform,13 July 2023 | 12:35,input/israel/images/Tal_Hibner.jpg
