speaker,title,photo
Tanya Sharma,Secret Management through Vault in a Zero trust architecture,input/india/images/Tanya_Sharma.jpg
Kamalika Majumder,Building ISO compliant DC/DRC on baremetals with Terraform &  Vmware,input/india/images/Kamalika_Majumder.jpg
Ashish Singh Baghel,Deploy Infrastructure as Code on Azure using Github Codespaces and Terraform Cloud,input/india/images/Ashish_Singh_Baghel.jpg
Abhishek Dubey,Managing Windows based Microservices using Nomad,input/india/images/Abhishek_Dubey.jpg
Basil Varghese,Infrastructure and Configurations as Code,input/india/images/Basil_Varghese.jpg
Shubham Pandey,Cloud Provisioning and Governance via ServiceNow using Terraform Connector,input/india/images/Shubham_Pandey.png
Anuj Modi,Automating the secrets management with Hashicorp Vault and Concourse CI.,input/india/images/Anuj_Modi.png
Preeti Pragya Jha,Getting Started with Terraform on AWS in Right Way,input/india/images/Preeti_Pragya_Jha.jpg
Saravanan Gnanaguru,Setup GitHub Action Workflow for Terraform to Deploy AWS Infrastructure,input/india/images/Saravanan_Gnanaguru.png
