speaker,title,date,photo
Neel Shah,Unlocking DevOps magic: mastering Terraform Cloud workflows,14 December 2023 | 10:35 am,input/india/images/Neel_Shah.jpeg
Prabhu Raghav,Hashicorp Packer in datascience platform - DecisionFacts,14 December 2023 | 12:20 pm,input/india/images/Prabhu_Raghav.jpeg
Anupam Phoghat,Demystifying modernisation: true potential of cloud technology,14 December 2023 | 12:50 pm,input/india/images/Anupam_Phoghat.png
Anoop Chaudhary,Empowering cloud acceleration with ServiceNow and Terraform,14 December 2023 | 1:20 pm,input/india/images/Anoop_Chaudhary.jpg
