speaker,title,date,photo
Kamalika Majumder,Test driven delivery of infrastructure-as-code,14 December 2023 | 10:05 am,input/india/images/Kamalika_Majumder.jpg
Keerthivasan Kannan,Git as Terraform module registry,14 December 2023 | 1:50 pm,input/india/images/Keerthivasan_Kannan.jpg
