speaker,title,photo
Çetin Ardal,"Network Infrastructure Automation: gérer votre matrice des flux via Terraform, Consul et CTS",input/france/images/Cetin_Ardal.jpg
Jérôme Masson,"Le petit chaperon rouge pratique enfin le ""Zero Trust"" (Hashicorp Version)",input/france/images/Jerome_Masson.jpg
Yohan Daddou,Nomad et Gitlab pour accélérer efficacement vos pratiques DevOps,input/france/images/Yohan_Daddou.png
Adrian Todorov,Observabilité complète avec OpenTelemetry sur Nomad,input/france/images/Adrian_Todorov.jpg
Stéphane Este-Gracias,Sécurisez la distribution automatique de vos certificats,input/france/images/Stephane_Este-Gracias.jpg
Cédric Derue,Gestion centralisée de la configuration des applications cloud native avec Vault et Consul,input/france/images/Cedric_Derue.jpg
Mikael Krief,Estimate your cloud infrastructure cost with Terraform,input/france/images/Mikael_Krief.jpg
