speaker,title,date,photo
Thiwanon Chomcharoen,Simplify EKS management with Terraform EKS Blueprints,16 พฤศจิกายน 2566 | 10:05,input/thailand/images/Thiwanon_Chomcharoen.jpg
Damrongsak Reetanon,Automating TLS certificate management with HashiCorp Vault,16 พฤศจิกายน 2566 | 10:35,input/thailand/images/Damrongsak_Reetanon.png
Sirinat Paphatsirinatthi,Effortlessly managing application credentials with HCP Vault Secrets,16 พฤศจิกายน 2566 | 11:05,input/thailand/images/Sirinat_Paphatsirinatthi.jpg
JoJo Jumpbox,Simple and secure remote access with Hashicorp Boundary,16 พฤศจิกายน 2566 | 11:35,input/thailand/images/JoJo_Jumpbox.png
Sukkarin Ruensukont,Module and conditional use cases in Terraform,16 พฤศจิกายน 2566 | 12:05,input/thailand/images/Sukkarin_Ruensukont.png
