speaker,title,date,photo
Glenn Chia,Generating Terraform tests with GenAI,"July 24, 2024 | 10:35 AM",input/build/images/glenn_chia.jpg
Dharani Sowndharya G,Terraform testing revolution with version 1.6,"July 24, 2024 | 12:05 PM",input/build/images/dharani_sowndharya_g.jpg
Ned Bellavance,TerraHash - Module verification for Terraform,"July 24, 2024 | 1:05 PM",input/build/images/ned_bellavance.jpg
Melissa Gurney Greene,Spoiler alert: build testing robots for HashiConf,"July 25, 2024 | 10:05 AM",input/build/images/melissa-gurney-greene.jpg
