speaker,title,date,photo
Mikita Endoh,Terraform Workspaces の弱点を count や moved でカバーしつつ開発を進めた話,2023 年 9 月 14 日 | 11:35,input/japan/images/Mikita_Endoh.jpg
Ryusuke Kinoshita,サービス基盤の Terraform 移行で見えた、 押さえておきたい3つのポイント,2023 年 9 月 14 日 | 13:35,input/japan/images/Ryusuke_Kinoshita.jpg
Shinnosuke Takakuni,AWS SAM CLI for Terraform を利用した Lambda のローカル実行を解説,2023 年 9 月 14 日 | 12:05,input/japan/images/Shinnosuke_Takakuni.jpg
Takayoshi Naito,トヨタ CCoE が AFT を活用して最高の開発者体験を提供する Platform を作っている話,2023 年 9 月 14 日 | 13:05,input/japan/images/Takayoshi_Naito.png
太一 埜下,Vault Secrets Operator と HCP Vault を使った AKS のシークレット管理,2023 年 9 月 14 日 | 10:50,input/japan/images/Tai_Yi_Ye_Xia.jpg
福元 将高,AWS 中上級者へのステップアップのための Terraform,2023 年 9 月 14 日 | 11:20,input/japan/images/Fu_Yuan_Jiang_Gao.png
