id,message_english,message_regional
starting_soon,,The stream will start soon
next,,The next talk will start soon
next_up,,Next up:
break,,We will be right back
welcome_back,,Welcome back
thank_you,,Thank you for joining. See you next time!
technical_difficulties,,We are experiencing technical difficulties
coc,,Please take a moment to read through our community guidelines: hashicorp.com/community-guidelines
