speaker,title,date,photo
Olakunle Abiola,Cultivating a secure culture with HashiCorp Vault and Terraform,26 September 2024 | 10:05 WAT,input/africa/images/Olakunle_Abiola.jpg
Amarachi Iheanacho,"Using Vault for secure, region specific (Pan African) data management",26 September 2024 | 10:35 WAT,input/africa/images/Amarachi_Iheanacho.jpg
Emeka Mbah,Secure secrets management: Leveraging Laravel with HashiCorp Vault,26 September 2024 | 12:05 WAT,input/africa/images/Emeka_Mbah.png
