speaker,title,date,photo
GS Lee,Java앱(Spring boot)운영에 Nomad 활용,2023년 9월 7일,input/korea/images/GS_Lee.jpg
준상 박,Terraform CE to Enterprise 대규모 마이그레이션,2023년 9월 7일,input/korea/images/junsang_bag.jpg
TaeBin Lim,terraform을 활용한 substrate 기반 멀티 블록체인 환경 구축하기,2023년 9월 7일,input/korea/images/TaeBin_Lim.jpg
Sang Jun Song,Hashicop Vault with LDAP (not Active Directory),2023년 9월 7일,input/korea/images/Sang_Jun_Song.jpg
