speaker,title,date,photo
François Dexemple,Migrer votre premier projet Terraform vers HCP Terraform,12 Septembre 2024 | 10:05 CET,input/france/images/francois_dexemple.jpg
Thibault Lengagne,The end of shared passwords with Vault and Boundary,12 Septembre 2024 | 11:35 CET,input/france/images/Thibault_Lengagne.jpg
Mohamed Meskine,Sécuriser et tester vos infrastructures avec Terraform,12 Septembre 2024 | 12:35 CET,input/france/images/Mohamed_Meskine.jpg
Jérôme Masson,Éviter que le chat botté ne volent vos secrets,12 Septembre 2024 | 13:05 CET,input/france/images/Jerome_Masson.jpg
