speaker,title,date,photo
Armon Dadgar,What is lifecycle management and why does it matter to platform teams?,17/07/2024 | 10:05,input/العربية/images/armon_dadgar.png
Jane Ho,Migrate infrastructure to Terraform with config-driven import,17/07/2024 | 10:50,input/العربية/images/jane_ho.png
John Alexander Alfaro,Boost Azure DevOps connections security with Terraform,17/07/2024 | 11:05,input/العربية/images/john_alexander_alfaro.jpg
