id,message_english,message_regional
promo_learn,,Want to learn more? learn.hashicorp.com & discuss.hashicorp.com
promo_hashiconf,,HashiConf will be a hybrid event this year. Registration is now open! hashiconf.com
thank_you,,Thank you for joining. See you next time!
