speaker,title,date,photo,photo1
Welly Siauw & Dr. Rahul Gaikwad,AWS Cloud Control documentation journey so far,August 9 | 10:35 AM,input/build/images/Welly_Siauw.png,input/build/images/Dr._Rahul_Gaikwad.png
Anton Averchenkov & Anna Diroff,Vault OpenAPI-based Client Libraries and Workflows,August 9 | 11:05 AM,input/build/images/Anton_Averchenkov.png,input/build/images/Anna_Diroff.jpg
Glenn Chia & Welly Siauw,Testing for backward compatibility when developing Terraform AWS Provider resources,August 10 | 11:05 AM,input/build/images/Glenn_Chia.jpeg,input/build/images/Welly_Siauw.png
