speaker,title,date,photo
Daniel Bennett,Maestro: Nomad is actually an orchestrator,August 9 | 11:35 AM,input/build/images/Daniel_Bennett.jpeg
Scott McAllister,Building Ingress in Kubernetes and Consul with ngrok,August 9 | 12:05 PM,input/build/images/Scott_McAllister.jpg
Christopher Swenson,Building Vault Plugins,August 9 | 12:35 PM,input/build/images/Christopher_Swenson.jpg
Chloe Cota,Engineering Kindness,August 9 | 13:05 PM,input/build/images/Chloe_Cota.jpg
Albert Silva,Contributing to the AWS Terraform Provider,August 10 | 10:35 AM,input/build/images/Albert_Silva.png
Max Fröhlich,Implementing Machine Learning Workflows on Nomad,August 10 | 11:50 AM,input/build/images/Max_Frohlich.jpg
Ramesh Mathikumar,Testing with Terraform,August 10 | 12:35 PM,input/build/images/Ramesh_Mathikumar.jpg
Chris Ayers,Securely developing Terraform,August 10 | 13:05 PM,input/build/images/Chris_Ayers.png
