speaker,title,date,photo
Scott Ford,Building end-to-end secure workflows for Terraform deployments from code to runtime,"May 3, 2023 | 10:35 AM ET",input/secure/images/Scott_Ford.png
Naveen Srinivasan,OpenSSF Scorecard Strikes Back: Protecting Your Dependencies from the Dark Side,"May 3, 2023 | 1:05 PM ET",input/secure/images/Naveen_Srinivasan.jpg
Aditya Sharma,Beyond Secret Management - How HashiCorp Vault Helps Enterprise Meet Compliance Requirements,"May 4, 2023 | 10:50 AM ET",input/secure/images/Aditya_Sharma.jpg
