speaker,title,photo
Damrongsak Reetanon,HashiCorp and Ansible: The Power of Collaboration,input/thailand/images/Damrongsak_Reetanon.png
Piti Champeethong,Deploying MongoDB Atlas using Terraform and GitHub Actions.,input/thailand/images/Piti_Champeethong.jpg
Sirinat Paphatsirinatthi,Zero Touch Authentication & Authorization using HashiCorp Boundary,input/thailand/images/Sirinat_Paphatsirinatthi.jpg
Sukkarin Ruensukont,HashiCorp Vault and Kubernetes secrets Integration,input/thailand/images/Sukkarin_Ruensukont.jpg
Thiwanon Chomcharoen,The benefits of managing Helm with Terraform,input/thailand/images/Thiwanon_Chomcharoen.jpg
