id,message_english,message_regional
starting_soon,The stream will start soon,การสตรีมจะเริ่มต้นเร็วๆ นี้ 
coc,hashicorp.com/community-guidelines,
next_up,Next up:,ลำดับถัดไป:
break,We will be right back,เราจะรีบกลับมาทันที 
welcome_back,Welcome back,ยินดีต้อนรับกลับมา
