speaker,title,date,photo
Jorge Liauw Calo,Securely accessing Google Cloud from Terraform Cloud,22 May 2024 | 11:50 AM,input/secure/images/jorge_liauw_calo.jpg
Kosseila Hd,Compliance as code using Checkov in Terraform,22 May 2024 | 12:35 PM,input/secure/images/kosseila_hd.jpg
Josh Liburdi,Improving security and UX with Terraform modules,22 May 2024 | 1:05 PM,input/secure/images/josh_liburdi.jpg
Colin McAllister,Engineering secure SSH access for embedded Linux,23 May 2024 | 10:20 AM,input/secure/images/colin_mcallister.jpg
Jérôme Masson,Little Red Riding Hood finally practices Zero Trust,23 May 2024 | 10:50 AM,input/secure/images/Jerome_masson.jpg
