speaker,title,photo
Simon Grzebieta,IaC self service and the people in between.,input/anz/images/Simon_Grzebieta.jpg
Brad McCoy,Introduction to Hashicorp Vault,input/anz/images/Brad_McCoy.png
Pratik Khasnabis,Deep dive into Vault policies,input/anz/images/Pratik_Khasnabis.jpg
Josh Armitage,Going from 0-300 with Terraform Landing Zones,input/anz/images/Josh_Armitage.png
Dawn E. Collett,Deploying an open-source project to Digital Ocean using Terraform and Terraform Cloud,input/anz/images/Dawn_E._Collett.jpeg
Jarryd Tilbrook,Managing CI/CD resources with Terraform,input/anz/images/Jarryd_Tilbrook.jpg
Riaan Nolan,Development Labs on Multi-Arch and Multi-OS environments,input/anz/images/Riaan_Nolan.jpg
