speaker,title,date,photo
Shaked Braimok Yosef,From zero to platform: How Terraform empowers self-service infrastructure,"July 24, 2024 | 10:20 AM",input/build/images/shaked_braimok_yosef.png
Dmytro Prekrasnyi,Multiple Terraform projects in a monorepo. How to survive a mess?,"July 24, 2024 | 11:05 AM",input/build/images/dmytro_prekrasnyi.jpg
François Dexemple,See it all: Organization-wide observability with HCP Terraform & AWS CloudWatch,"July 24, 2024 | 11:35 AM",input/build/images/francois_dexemple.jpg
Vuong Nguyen,Maintaining the Databricks Terraform provider - a journey of growth & learning,"July 25, 2024 | 11:05 AM",input/build/images/vuong_nguyen.jpg
