speaker,title,output
Toru Wakitani,"Terraforｍ」と連携して自動構築を実現する システムライフサイクル効率化支援 OSS「Exastro IT Automation」のご紹介",speaker_1
Shotaro Suzuki,"Azure x Elastic x Terraform でクラウドネイティブアプリケーション を構築して監視する",speaker_3
Subaru Nakamura,"Nomadで実現するクラウドと オンプレのハイブリッド環境での コンテナオーケストレーション",speaker_10
Koichi Yanagimoto & Takumi Sato,"How easy was the Rakuten Group's software engineering team to solve the problem?",speaker_7
Wataru Unno,"見終わったらすぐできる！VMware & Nutanix ユーザーのための Terraform Cloud",speaker_16
