speaker,title,date,photo
前野 勇気,全てのエンジニアとクラウドベンダーに捧げる、 HCL の魅力,14 November 2024 | 10:05,input/japan/images/qian_ye_yong_qi.png
Toshinori Kikuchi,Terraform 未経験の御客様に対してどのように導入を進めていったか,14 November 2024 | 12:05,input/japan/images/toshinori_kikuchi.jpg
