speaker,title,date,photo
浩貴 森,マルチリージョン構成における Terraform モジュール設計,14 November 2024 | 11:20,input/japan/images/hao_gui_sen.jpg
雅樹 佐藤,HCP Terraform で始める Terraform のテスト,14 November 2024 | 11:50,input/japan/images/ryosei_kuramoto.jpg
太一 埜下,HCP Vault Secrets でシークレット管理を始めよう,14 November 2024 | 12:35,input/japan/images/tai_yi_ye_xia.png
Masaki Kazue,Terraform でEKSを操る実践的 Tips と効率化テクニック,14 November 2024 | 13:20,input/japan/images/masaki_kazue.jpg
