speaker,title
Brett Tegart & Itay Cohai,Compliance At Scale: Hardened Terraform Modules at Morgan Stanley
Martin Smith & Michael Main,How HashiCorp SREs Built HCP's Incident Management Program
Mihai Criveti & Elif Mosessohn-Samedin,"Building a Secure AWS Golden Image Pipeline with Packer, Vault and Terraform"
Piermarco Zerbini & Kevin de Notariis, HashiCorp Vault and Jenkins: Leveraging AWS IAM to Empower a Hybrid Scenario
