speaker,title,photo
Juan Herrera Utande,Dame un Provider y moveré el mundo,input/espana/images/Juan_Herrera_Utande.png
Haritz Saiz Sierra,Lamassu: PKI para la gestión de las identidades máquinas para IoT,input/espana/images/Haritz_Saiz_Sierra.jpg
Pablo Sánchez Carmona,Simplifica tu infraestructura de red en AWS con módulos de Terraform,input/espana/images/Pablo_Sanchez_Carmona.jpg
Iñaki Respaldiza,Caso de éxito: Creando entornos Okteto SaaS con dos manifiestos,input/espana/images/Inaki_Respaldiza.jpg
Antony R. Götzschel,Desplegar un Cluster de Kubernetes manejado en IONOS Cloud,input/espana/images/Antony_R._Gotzschel.jpg
