id,message_english,message_regional
starting_soon,The stream will start soon,A transmissão começará em breve
break,We will be right back,Voltaremos logo
welcome_back,Welcome back,Bem-vindos de volta
thank_you,Thank you for joining. See you next time!,Obrigado por participar. Até a próxima
