speaker,title,date,photo
Edson Ferreira,Saindo do Hello Word para Produção: O que se preocupar ao usar Terraform em ambientes de produção?,20 de julho | 10:05,input/brasil/images/Edson_Ferreira.jpg
Guy Barros,Acesso seguro aos seus recursos distribuídos via Boundary e Vault,20 de julho | 10:35,input/brasil/images/Guy_Barros.jpg
Jeferson Fernando,Platform Engineering: Delivering Infrastructure as a Product with Terraform,20 de julho | 11:35,input/brasil/images/Jeferson_Fernando.png
Rafael Vinícius,Utilizando o Terraform para gerenciar policies e grupos no Hashicorp Vault,20 de julho | 12:05,input/brasil/images/Rafael_Vinicius.jpg
Julia Furst,"Superando um Ataque de Ransomware com a Ajuda do Terraform, Vault e Veeam",20 de julho | 13:20,input/brasil/images/Julia_Furst.jpg
William Lino Oliveira,Escalando clusters de bancos de dados com Nomad,20 de julho | 13:35,input/brasil/images/William_Lino_Oliveira.jpg
Luiz Bernardo,Padrões e melhores práticas para Desenvolvimento de Infraestrutura como Código com base em SOLID,20 de julho | 14:35,input/brasil/images/Luiz_Bernardo.png
