speaker,title,photo
Yassine Snoussi,Test continue  d'infrastructure controlée par terraform,input/quebec/images/Yassine_Snoussi.jpg
Félix-Antoine Fortin,Magic Castle - Le CIP à l'échelle grâce à Terraform Cloud,input/quebec/images/Felix-Antoine_Fortin.jpg
Fredy Pulido,Vault with Terraform at OpenStack from GitLab,input/quebec/images/Fredy_Pulido.jpg
Guillaume Seguin,Faciliter la transition de systèmes patrimoniaux vers Vault avec une extension (plug-in),input/quebec/images/Guillaume_Seguin.jpg
